,Title,Author,Barcode Number,Location In Library,Material type,Format,Literary form,Publisher,Availability,Image
0,changing places,judy kramer.,116002.,IIIF-R1-C4-C,Text,print,Not fiction,new york  ;  riverhead books ;   2000,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 301.18-053.9 kra]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
1,chapel noir: an irene adler novel,carole nelson douglas.,116004.,IIF-R70-C1-E,Text,print,Not fiction,new york  ;  a forge book ;   2001,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 dou]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
2,coast road,barbara delinsky.,116023.,IIF-R70-C4-B,Text,print,Not fiction,simon ANDamp; schuster ;   1998,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 del]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
3,collision bend,roberts les.,116033.,IIF-R72-C3-B,Text,print,Not fiction,new york  ;  st. martin`s press inc. ;   1996,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 rob]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
4,compat,coonts stephen.,116037.,IIF-R70-C2-F,Text,print,Not fiction,new york  ;  a tom doherty associates book ;   2001,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 coo]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
5,come the morning,drake shannon.,116038.,IIF-R70-C1-D,Text,print,Not fiction,london  ;  kensington publication ltd ;   1999,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 dra]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
6,blue gold,cussler clive.,116046.,IIF-R70-C1-B,Text,print,Not fiction,new york  ;  pocket books inc. ;   2000,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 cus]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
7,conspiracy.com,pineiro r.j.,116049.,IIF-R72-C2-B,Text,print,Not fiction,new york  ;  a tom doherty associates book ;   2001,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 pin]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
8,country matters,korda michael.,116054.,llF-R78-C1-A,Text,print,Not fiction,"""77-85, fulham place road, hammer smith, london w68jb.""  ;  harper collins ;   2001","Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 974.7 kor]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
9,crazybone,pronzini bill.,116058.,IIF-R72-C2-A,Text,print,Not fiction,new york  ;  carroll and craft ;   2000,"Items available for loan: Vellore Institute of Technology, Vellore
                                               [Call number: 820-31 pro]
                                            (1).",http://10.10.6.12:80/opac-tmpl/bootstrap/images/Banner_VIT_Vellore_new.png
